,idiom,meaning,example,idiomatic_part
541,you’ve made your bed,Meaning: to make a decision and to accept the consequences of those decisions,"Example: Don't come back when it is all over and you have nowhere to go. Once you've made your bed , you'll have to lie in it. Read on","you've made your bed , you'll have to lie in it"
542,yes man,Meaning: a person who only agrees with the crowd or a group of people in order to please them or look good in front of them,Example: You really can't trust what Donald might say in front of the boss. Everyone knows that he is just a yes man and I am not even sure if he has his own views on anything. Read on,yes man
543,your call,Meaning: to leave a decision on  another person,Example: I don't really care where we go right now for dinner. It's your call. Read on,your call
544,prick ears up,Meaning: listen carefully,Example: She pricked up her ears when she heard her name being mentioned by the group chatting animatedly at the corner. Read on,pricked up her ears
545,pig in a poke,Meaning: something that is bought without examining properly,"Example: If you buy a used car without examining it thoroughly first, you might end up buying a pig in a poke. Read on",pig in a poke
546,zip your lip,Meaning: to stop talking,"Example: Why don't you just zip your lip, I am tired of being nagged all morning. Read on",zip your lip
547,yellow streak,Meaning: people who  have an inclination towards being fainthearted.,Example: Ginna's got a yellow streak which shows up the moment she is asked to stand up against Nick. Read on, yellow streak
548,year-round,Meaning: happening in continuation throughout the whole year,Example: The park provides free food for orphans year-round as a service to the God and humanity. Read on,year-round
549,unring the bell,"Meaning: once something has been done you cannot run away from it, you can only face the aftermath","Example: Remember Tom, you cannot unring the bell once you have sent out that mail. Read on", unring the bell
550,young turk,Meaning: a young person who has many new ideas and wants a reform,Example: The beginning of the young turk's party was after they started becoming organized and confident of their power and abilities. Read on,young turk's party
551,zenith of career or life,Meaning: the highest pinnacle of a person's career or life,Example: The birth of his daughter was the zenith of his life. Read on,zenith of his life
552,pedal to the metal,Meaning: do something at full speed,Example: I need to submit this assignment in two days' time. I have to put pedal to the metal else I will miss the deadline. Read on,pedal to the metal
553,out on the town,Meaning: go out and enjoy yourself at one or more places in the town,Example: All of us slept till late afternoon after we had a night out on the town and returned after dawn. Read on,out on the town
554,on the same page,Meaning: everyone in agreement,"Example: Before we begin with the discussion, I want to make sure that all of us are on the same page. Read on",on the same page
555,on pins and needles,Meaning: being anxious or nervous,Example: We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide. Read on,on pins and needles
556,off the record,Meaning: an informal or unofficial statement,"Example: I will give you the information regarding what really happened, but strictly off the record. Read on",off the record
557,off the hook,Meaning: free of a difficult situation,"Example: Since it was his first offence, and a minor one at that, he was let off the hook with just a warning. Read on",off the hook
558,off on the wrong foot,Meaning: off to a bad start,Example: Their relationship started off on the wrong foot when they had a huge misunderstanding. Read on,off on the wrong foot
559,no room to swing a cat,Meaning: a very small place,Example: How do you expect all four of us to stay in that room? There's no room to swing a cat in there. Read on,no room to swing a cat
560,no dice,Meaning: not agree for something,"Example: The children asked whether they could all go out for a camping trip, but no dice, their parents refused. Read on",no dice
561,New York minute,Meaning: in a very short amount of time,Example: I'll get that job done in a New York minute if you give it to me. Read on,New York minute
562,nest egg,"Meaning: an amount of money that has been saved, especially for future use",Example: The stock market has given me good returns and helped me build a nest egg for my retirement. Read on,nest egg
563,mum’s the word,Meaning: keep quiet and say nothing,"Example: We are throwing a party for our friend Jeremy, but its a surprise, so don't tell him anything about it. Mum's the word. Read on",Mum's the word
564,loose cannon,Meaning: somebody whose activities are uncommon and out of control,Example: He was a loose cannon and could not be risked in front of the press. Read on,loose cannon
565,like a chicken with its head cut off,Meaning: act in a frenzied manner,Example: Does he know how to handle the situation? He has been running around all morning like a chicken with its head cut off. Read on,like a chicken with its head cut off
566,level playing field,Meaning: a situation that is fair to everyone,Example: These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding. Read on,level playing field
567,lend me your ears,Meaning: ask for someone's full attention,"Example: Lend me your ears, and I will tell you about my adventures in the mountains. Read on",Lend me your ears
568,last but not least,"Meaning: someone or something that is last in sequence, but not less in importance","Example: After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family. Read on",last but not the least
569,knock on wood (touch wood),Meaning: tap knuckle on wood in order to avoid bad luck,"Example: I am expecting a promotion and a big pay hike this year, touch wood. Read on",touch wood
570,knee jerk reaction,Meaning: an automatic response to something,Example: It was a typical knee jerk reaction. He said no immediately without considering our proposal. Read on,typical knee jerk reaction
571,keep body and soul together,Meaning: manage to stay alive with very little money,"Example: When he first came to the city, he earned barely enough to keep body and soul together. Read on",keep body and soul together
572,it’s anyone’s call,Meaning: a competition where the outcome is difficult to predict or judge,Example: I think this year's election would be anyone's call. Both the candidates seem to have an equally divided support base. Read on,anyone's call
573,in your face,"Meaning: a bold, defiant or aggressive manner","Example: Unable to tolerate Jack's in your face attitude anymore, his boss fired him from the job. Read on",in your face
574,in the buff,Meaning: naked,Example: The model created a sensation when she posed for a magazine cover in the buff. Read on,in the buff
575,every nook and cranny,Meaning: to look for something everywhere,"Example: The lawyers searched every nook and cranny to find more evidence but alas, there was none. Read on",every nook and cranny
576,in the bag,Meaning: have something as good as secured or certain,Example: The deal was finally in the bag after a few rounds of tough negotiations. Read on,in the bag
577,idle hands are the devil’s tools,"Meaning: if you have nothing to do, you are likely to do some mischief",Example: All the kids should be kept busy while you are away; idle hands are the devil's tools. Read on,idle hands are the devil's tools
578,icing on the cake,Meaning: when something good is added to another good thing that you already have,Example: Everyone expected him to do well in the exams. Getting first rank was the icing on the cake. Read on,icing on the cake
579,going to hell in a handbasket,Meaning: in extremely bad state and becoming worse,"Example: With corruption and malpractices everywhere, the political leadership seem to be going to hell in a handbasket. Read on",going to hell in a handbasket
580,lose head,Meaning: not have control over your emotions,Example: He is usually very calm and does not lose his head in stressful situations. Read on,lose his head
581,haste makes waste,"Meaning: if you do things too quickly, you can make mistakes","Example: Try not to rush through things, even though you are in a hurry. After all, haste makes waste. Read on",haste makes waste
582,gut feeling,"Meaning: a personal, intuitive feeling","Example: I had a gut feeling that he had been lying, and sure enough, it was later proved that he had been. Read on",gut feeling
583,great minds think alike,Meaning: thoughts of very intelligent people are similar to each other,"Example: The two of us had the same idea at the same time. Well, great minds think alike! Read on",great minds think alike
584,good Samaritan,Meaning: someone who tries to help people in trouble or need,Example: The beggar was lying shivering on the road when a good Samaritan came along and gave him a blanket and some warm clothes. Read on,good Samaritan
585,go out on a limb,Meaning: do or say something that is different from most other people,"Example: During an analysis of the news, he went out on a limb and expressed an opinion that was opposite to that held by the general public. Read on",went out on a limb
586,go for broke,Meaning: risk everything and go for an all out effort,"Example: Realizing that they would be out of the competition if they lost this match, the players went for broke. Read on",went for broke
587,go down like a lead balloon,Meaning: be poorly received by an audience,Example: The joke he cracked went down like a lead balloon. Read on,went down like a lead balloon
588,give the slip,Meaning: to get away,Example: The police were on the criminal's trail but in the end he managed to give them the slip. Read on, the slip
589,get over it,Meaning: accept something and move on,"Example: I know you are bitter about losing that job, but try to get over it and find another one. Read on",get over it
590,get down to brass tacks,Meaning: talk about the important things,Example: We have been chatting around for quite some time. Let's get down to brass tacks and discuss what we are really here for. Read on,get down to brass tacks
591,rags to riches,Meaning: go from being very poor to being very wealthy,Example: He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies. Read on,rags to riches
592,foam at the mouth,Meaning: be extremely angry,Example: She was foaming at the mouth when she heard of her child's misdeeds. Read on,foaming at the mouth
593,flip the bird,Meaning: show someone the middle finger as an act of contempt or anger,"Example: When he could not get the man to agree with him, he flipped him the bird and went off cursing. Read on",flipped him the bird
594,flash in the pan,"Meaning: something that cannot be repeated, usually a positive concept","Example: His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work. Read on",flash in the pan
595,field day,Meaning: have a great time doing something enjoyable,Example: The children had a field day when they were taken on a trip to the museum. Read on,field day
596,everything but the kitchen sink,Meaning: almost everything that one can think of,"Example: When he moved out of the house, he took along everything but the kitchen sink. Read on",everything but the kitchen sink
597,drop like flies,Meaning: many people falling ill or dying around the same time,Example: It was flu season and people in our office were dropping like flies. Read on,dropping like flies
598,down to the wire,Meaning: a situation where the outcome is not decided until the very end,"Example: With both teams being equally matched and putting up an exceptional display, the match was very exiting and went down to the wire. Read on",down to the wire
599,don’t look a gift horse in the mouth,Meaning: don't be ungrateful when you receive a gift,"Example: I know you don't like the dress very much, but it was a gift; you should not look a gift horse in the mouth. Read on",not look a gift horse in the mouth
600,curiosity killed the cat,Meaning: too much curiosity can lead to dangerous situations,"Example: When he started asking too many questions of his neighbours about their whereabouts during the weekend, they warned him that curiosity killed the cat. Read on",curiosity killed the cat
601,cup of joe,Meaning: a cup of coffee,"Example: When I wake up in the morning, the first thing I do is make myself a cup of joe. Read on",cup of joe
602,come hell or high water,Meaning: come what may,"Example: I want to complete this report by today, come hell or high water. Read on",come hell or high water
603,blood is thicker than water,Meaning: family relations and bonds are closer than other relationships,"Example: When you get into trouble, usually your family will be the ones to bail you out, not your friends. After all, blood is thicker than water. Read on",blood is thicker than water
604,"close, but no cigar",Meaning: be very close to accomplishing a goal but fall short,"Example: You did quite well for someone who was playing for the first time. You attempt for close, but no cigar. Read on","close, but no cigar"
605,chow down,"Meaning: to eat something, usually quickly or vigorously",Example: Is the food ready yet? I am hungry and ready to chow down all you have got. Read on,chow down
606,beat around the bush,Meaning: avoid talking about the main topic,Example: Will you please stop beating about the bush and get to the point? Read on,beating about the bush
607,all Greek to me,Meaning: used to convey that you cannot understand what is being said or written,Example: Don't try to explain the technicalities of how this machine works; it would be all Greek to me. Read on,all Greek to me
608,all bark and no bite,"Meaning: threatening, aggressive, but not willing to engage in a fight","Example: I heard he has threatened you with dire consequences if you don not stop that construction. Don't worry, he is all bark and no bite. Read on",all bark and no bite
609,toss-up,Meaning: a situation where the result is unclear and can go either way,"Example: They had a tough time selecting the team for the big match. In the end, it was a toss-up between having the most experienced players and having a youthful team full of raw energy. Read on",toss-up
610,a bird in the hand is worth two in the bush,Meaning: what you already have is more valuable than the prospect to have something greater,"Example: You may not like your job, but don't quit merely on the hope of finding a better one. A bird in the hand is worth two in the bush. Read on",A bird in the hand is worth two in the bush
611,ask out,"Meaning: invite someone to go out, especially on a date","Example: When he finally asked her out, she readily accepted, and very soon they were dating on a regular basis. Read on",asked her out
612,end of story,Meaning: there is  nothing more to add to the matter under discussion,Example: I did not invite her because I did not want her to come to my party. End of story. Read on,End of story
613,joined at the hip,Meaning: two people who are inseparable,Example: Chris and Jenny have been joined at the hip since they started dating each other a year ago. You would never see one without the other. Read on,joined at the hip
614,dog days,"Meaning: hot, sultry days","Example: During the dog days of summer, people prefer to remain indoors and go out as little as possible. Read on",dog days
615,hard cheese,"Meaning: bad luck, tough luck","Example: The construction workers have a tough time out there, working continuously in the sweltering heat. It's really hard cheese for them. Read on",hard cheese
616,salad days,"Meaning: the time of youth, innocence and inexperience","Example: They had met in their salad days and had fallen in love. Naturally, the union did not last long and they separated a few years later. Read on",salad days
617,love child,Meaning: a child born out of wedlock,Example: The new actress in that movie is rumoured to be the love child of one of the most famous actors of the previous generation. Read on,love child
618,sealed with a kiss,Meaning: written and sent with love and care,"Example: When Ted and Judy were living apart in different cities, he would write a letter to her every week and all the letters would be marked with SWAK, or sealed with a kiss, as a mark of how much he loved her. Read on",sealed with a kiss
619,no love lost,Meaning: there is a mutual dislike between two people,Example: Bob and Jill cannot get along together. There is no love lost between them. Read on,no love lost
620,love to death,Meaning: love someone very much,"Example: He is prepared to do anything for her, go to any extent. He loves her to death. Read on",loves her to death
621,the course of true love never did run smooth,Meaning: people in love often have to overcome difficulties in order to be with each other,Example: Judy and I are in a long distance relationship and it is not easy staying away from each other. The course of true love never did run smooth. Read on,The course of true love never did run smooth
622,one cannot love and be wise,Meaning: people often do foolish things when they are in love,"Example: I don't think it is wise of Elsie and Ray to decide to get married so soon into their relationship. But then, one cannot love and be wise. Read on",one cannot love and be wise
623,all is fair in love and war,Meaning: in situations of love and war you do not have to obey rules of reasonable behaviour,"Example: In order to go on a date with Elle, Paul tricked her into believing that her boyfriend was seeing another woman. Well, all's fair in love and war. Read on",all's fair in love and war
624,an item,Meaning: be involved in a romantic relationship,Example: John and Sally are frequently seen together nowadays. Are they an item? Read on,they an item
625,labour of love,"Meaning: a task done for the pleasure of doing it, not for gains or rewards","Example: Every morning, he dusted, cleaned and wound up the old grandfather clock that he had inherited as a family heirloom. It was truly a labour of love. Read on",labour of love
626,match made in heaven,Meaning: a combination of two people that is perfect in every way,Example: Jules and Nora are a match made in heaven. They love doing things together and cannot bear to be away from each other. Read on,match made in heaven
627,pop the question,Meaning: propose marriage to someone,"Example: I heard you had a special date with Tom yesterday; so did he pop the question, then? Read on",pop the question
628,double date,Meaning: a date on which two couples go together,"Example: When Jim and Sam went on a double date with their girlfriends, they had a fun evening together. Read on",a double date
629,those three little words,"Meaning: the three words ""I love you""","Example: It is obvious that Steve really loves Sarah, but she told me that he has not said those three little words yet. Read on",those three little words
630,walk out on,Meaning: end a relationship with someone suddenly,Example: Everyone was shocked when he walked out on his wife of fourteen years and their two beautiful children aged ten and seven. Read on,walked out on
631,leave at the altar,Meaning: decide not to marry someone at the very last moment,Example: Judy was devastated when her fiance did not turn up for their wedding and left her at the altar. Read on,left her at the altar
632,break up | split up,Meaning: end a romantic relationship with someone,"Example: After having been married for eight years, their decision to break up came as a huge surprise to their friends. Read on",break up
633,kiss and make up,Meaning: to become friendly again after an argument,"Example: After having a heated argument the previous night, the young couple kissed and made up and decided to settle their differences amicably. Read on",kissed and made up
634,wear heart on sleeve,Meaning: display your emotions openly,Example: It was evident that he was in love with her. He wore his heart on his sleeve and you could see how he felt about her. Read on,wore his heart on his sleeve
635,let your heart rule your head,Meaning: do something based on emotions rather than logic,Example: I think it would be unwise for you to be in a relationship with him; he is a known womanizer. Don't let your heart rule your head. Read on,let your heart rule your head
636,beauty is in the eye of the beholder,Meaning: different people have different ideas and views about what is beautiful,"Example: I don't see why he finds her attractive, I think she is downright ugly; but, beauty is in the eye of the beholder, as they say. Read on",beauty is in the eye of the beholder
637,love is blind,"Meaning: if you love someone, you cannot see the faults in that person","Example: I really don't understand why Mia likes Chris so much. He's very selfish and inconsiderate; and doesn't even treat her well. Well, love really is blind. Read on",love really is blind
638,"marry in haste, repent at leisure","Meaning: if you marry someone without knowing the person well, you will later regret your decision to marry","Example: Sally and Bob had hardly known each other for a few months before they decided to get married, and now they are having big problems. Marry in haste, repent at leisure! Read on","Marry in haste, repent at leisure"
639,love rat,"Meaning: someone, usually a man, who has a secret affair while being in a relationship",Example: I heard Bill had an affair with his wife's best friend! What a love rat he is! Read on,love rat
640,every picture tells a story,Meaning: scene of happening that explains hidden reality,"Example: Shannon is denying but I am quite sure that she had done something wrong, every picture tells a story. Read on",every picture tells a story
641,stormy relationship,Meaning: a relationship with many disagreements,"Example: After having a very stormy relationship for around two years, they decided to separate. Read on",having a very stormy relationship
642,one stop shop,Meaning: a store that fulfills various requirements which is preferable by customers,Example: That corner store is a one stop shop for anyone looking for video games. Read on,one stop shop
643,eat humble pie,Meaning: To become very humble in behaviour when someone points out a wrong doing by the person.,Example: I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie. Read on,eat humble pie
644,keep schtum,Meaning: To be quiet when one knows that if the wrong thing is said then there will be more trouble.,Example: I can’t tell you because you will not be able to keep schtum about it. Read on,keep schtum 
645,beyond the pale,Meaning: Something that is not an acceptable way to behave.,Example: Nobody will want to be friends with you if you are considered beyond the pale in your social circle. Read on,beyond the pale
646,on the rocks,Meaning: likely to fail because of serious problems,Example: Their marriage was on the rocks as they couldn't get along with each other anymore and were having huge arguments very frequently. Read on,on the rocks
647,can’t stand the sight of,Meaning: to hate someone very much,"Example: After years of being in an unhappy marriage and later going through an ugly divorce, they now can't stand the sight of each other. Read on",can't stand the sight
648,blazing row,Meaning: a very angry argument,"Example: After having a blazing row with his wife, he stormed out of the room and banged the door behind him. Read on",blazing row
649,go through a rough patch,Meaning: to experience a lot of problems in a period of life,"Example: They have usually been very supportive of each other, but right now, their marriage is going through a bit of a rough patch. Read on",going through a bit of a rough patch
650,tie the knot,Meaning: to get married,Example: They have been dating each other for quite some time now and are planning to tie the knot a few months from now. Read on,tie the knot
651,get hitched,Meaning: to get married,Example: Have you heard? Marge and Sam are getting hitched this weekend. Read on,getting hitched
652,cupboard love,Meaning: affection given in order to gain a reward,Example: I had suspected all along that Jane's affair with that man was just cupboard love. What she really liked about him was his big mansion and luxurious car. Read on,cupboard love
653,whet one’s appetite,"Meaning: A stimulation that causes you to want additional of something, mostly food.",Example: You have whetted my appetite to go for another theatre performance after making me watch this one. Read on,whetted my appetite
654,veg out,Meaning: to stop working hard,"Example: After a hard week, I like to veg out in front of the television during the weekend. Read on",veg out
655,fancy free,Meaning: something or someone who has no commitments or ties,Example: Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different. Read on,fancy free
656,love of life,Meaning: the person who is loved most by someone in all their life,"Example: After having spent most of his life being single, he finally found the love of his life at the ripe old age of fifty. Read on",the love of his life
657,puppy love,"Meaning: a mild infatuation, or a crush","Example: Most teenagers are quick to fall in love and expect it to last a lifetime, but of course it is puppy love and they soon fall out of it. Read on",puppy love
658,chew the fat,Meaning: to have friendly banter for hours on end,"Example: I've been meaning to get a hold of my friends from US since quite a while, if I can manage to do that after the party then I'll go and chew the fat with them at our regular hangout. Read on",chew the fat
659,love nest,Meaning: a home or place where two people who love each other live,"Example: It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work. Read on",love nest
660,bob’s your uncle,Meaning: it is said after a set of instructions are provided and one wants to convey that the work will be simple for the other person to do,"Example: You add two cups of water to the mix, heat it for five minutes and Bob's your uncle, the soup is ready. Read on",Bob's your uncle
661,born with a silver spoon in mouth,Meaning: to be born to parents who are rich and have a good social rank,Example: He has never worked hard for anything because he was born with a silver spoon in his mouth. His parents brought everything to him instead. Read on,born with a silver spoon in his mouth
662,i’ll eat my hat,Meaning: This is an expression of not believing something very strongly.,Example: If you are really able to climb that 8 feet wall by yourself then I'll eat my hat. Read on,I'll eat my hat.
663,as nice as ninepence,Meaning: A place that is very well organized.,Example: I was taken aback when I saw that this place is as nice as ninepence. Read on,as nice as ninepence
664,"if wishes were horses, beggars would ride",Meaning: To wish for things does not yield to anything.,"Example: She told me she wanted to become Miss Universe and I said, ""If wishes were horses, beggars would ride"". How else was I to react to such an absurd thing? Read on","If wishes were horses, beggars would ride"
665,smitten with,Meaning: suddenly start to like or love someone very much,Example: He is completely smitten with love for her. Read on,smitten with
666,have eyes only for,Meaning: be attracted to someone exclusively,"Example: Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve. Read on",had eyes only for
667,"wear off, out",Meaning: Something that deteriorates or changes by wearing,Example: That garment is completely worn out. Why don’t you just throw it away? Read on,worn out
668,head over heels,"Meaning: fall deeply and completely in love, especially suddenly",Example: Tom and Mary are head over heels in love with each other and are going to get married next month. Read on,head over heels in love
669,lovey-dovey,Meaning: showing lot of love or affection,"Example: We had gone for lunch with our boss and his wife, but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us. Read on",lovey-dovey
670,red letter day,Meaning: a day of significance,Example: The day that I started my journey towards my real career was a red-letter day for me. Read on,red-letter day
671,pin money,Meaning: A small amount.,Example: The maid service in this area are no longer available at pin money. You have to shell out big bucks in order to get household help. Read on,pin money
672,fall for,Meaning: to be attracted romantically to a person,Example: I think Charlie has fallen for Jenny. He is always trying to find reasons to be with her. Read on,fallen for
673,go steady,Meaning: have a romantic relationship with someone,Example: Kate and Jack have been going steady with each other for the past few years now. Read on,going steady
674,have the hots for,Meaning: be very sexually attracted to someone,Example: My friend has the hots for the new girl who has recently joined his team. Read on,has the hots for
675,hissy fit,Meaning: To throw a tantrum.,Example: A hissy fit is not justified just to get someone to listen to you. You have to be more mature than that. Read on,hissy fit
676,save face,Meaning: To be able to hide public disgrace by taking some action.,"Example: I managed to save face by being able to speak about the topic, the presentation that was made was really not good. Read on",save face
677,quality time,Meaning: well spent time,Example: It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless. Read on,quality time
678,lie low,"Meaning: To go out of sight, usually after having done something bad.",Example: Someone else in his position would lie low after having done what he did! Read on,lie low 
679,go out with,Meaning: have a romantic relationship with someone,Example: Sue and Rob had been going out with each other for five years before they finally decided to get married. Read on,going out with
680,paddle own canoe,Meaning: To be able to act without having to depend on anyone.,Example: He feels he can paddle his own canoe now so wants to move out of his parent's house. Read on,paddle his own canoe
681,keen as mustard,Meaning: Very excited and enthusiastic.,Example: Little kids are always as keen as mustard to learn new things around them. Read on,as keen as mustard
682,having a crush,Meaning: infatuated with someone,"Example: I think Steve has a crush on our new English teacher; he always looks forward to her classes and even goes to ask questions after classes, though he actually doesn't need to. Read on",has a crush
683,catch eye,Meaning: be noticed by someone,"Example: While we were driving down the road, a small shop selling beautiful potteries caught my eye. Read on",caught my eye
684,fall in love,Meaning: to be very attracted to someone,Example: My brother and his fiancee fell in love when they went for a camping trip together with a group of friends. Read on,fell in love
685,harp on,Meaning: To speak in a boring tone.,Example: He kept harping on about something. I had stopped paying attention a long while back. Read on,harping on
686,in a trice,"Meaning: In the moment, instantly.","Example: I will be there in a trice, stop calling me so often. Read on",in a trice
687,jot or tittle,Meaning: A very small amount.,"Example: I don’t want a jot or tittle of it, I want the whole thing. Read on",jot or tittle
688,year dot,Meaning: A long time back.,Example: I have been living in this house since the year dot and know everyone in the vicinity by their first names. Read on,year dot
689,old hat,Meaning: Someone who is old fashioned. The phrase can directly refer to old fashion too.,Example: Ask that old hat to keep out of my business. She has a lot to correct in her own life first. Read on,old hat
690,a little bird told me,Meaning: it is used when a person is trying to hide the source of his information,Example: I'd like to believe that a little birdie told you about my secret but I know exactly who it was that let you in on it. Read on,a little birdie told you
691,night owl,Meaning: Someone who is vigilant late at night.,Example: In order to earn their bread so many people now have to turn into night owls. The customer service industry thrives on 24*7 availability of people. Read on,night owls
692,shilly-shally,Meaning: To be undecided.,Example: He is not shilly-shally about his plans to move to the United States of America. Read on,shilly-shally
693,filthy rich,Meaning: Someone who is rich beyond measure.,Example: His father is filthy rich so obviously he is not worried about choosing the right university. He can get admission in any of them that he chooses. Read on,filthy rich
694,love at first sight,Meaning: strong and immediate attraction to someone you have just met,"Example: For Sarah and Samuel, it was love at first sight, and they have now decided to get married. Read on",love at first sight
695,tall story,Meaning: a story that cannot be believed easily,Example: You cannot believe everything he says since most of them are just tall stories. Read on,tall stories
696,class clown,Meaning: a wiseacre,Example: He is the class clown with the constant talking and making fun of others. Read on,class clown
697,dead ringer,Meaning: A duplicate of the exact nature.,Example: She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend. Read on,dead ringer
698,slap on the wrist,Meaning: to show disapproval.,Example: I have to keep slapping his wrist away from the cake or there will be nothing left for the party. Read on,slapping his wrist
699,happy as a clam,Meaning: To be very happy.,"Example: Although the job does not pay very well, she is as happy as a clam there. Read on",happy as a clam
700,as bald as a coot,Meaning: Totally bald.,Example: She is in remission now but the Chemo Therapy has left her as bald as a coot. Read on,as bald as a coot
701,well read,Meaning: Well-educated and learned.,Example: She is well read does not mean that she can go out on the streets and fend for herself. To be street smart is a requirement in what she wants to do. Read on,well read
702,laughing stock,Meaning: Something ridiculous which can be laughed upon.,"Example: After the event and how he behaved there, he was the laughing stock in school for days to come. Read on",laughing stock
703,mumbo jumbo,Meaning: Something that does not make sense.,"Example: I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego. Read on",mumbo jumbo
704,long in the tooth,Meaning: To get too old for something.,Example: He is too long in the tooth to be working with 18 year old paired opposite him in movies. Read on,long in the tooth
705,"all singing, all dancing","Meaning: Something that is full of verve, vivacity and liveliness.",Example: She went home from the play all singing all dancing. It was one of the liveliest performances that she had ever witnessed. Read on,all singing all dancing
706,as easy as pie,Meaning: an easy thing,Example: The results are sure to be good this time since the exam was as easy as a pie. Read on,as easy as a pie
707,flesh and blood,"Meaning: This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","Example: Of course I care about her well-being, my sister is my flesh and blood after all. Read on",flesh and blood
708,high on the hog,Meaning: someone who is used to luxury,Example: We aren't as wealthy as the Jones' to eat so high on the hog. Read on,high on the hog
709,know the ropes,Meaning: to know all the ways and means to get something done,Example: She has been working here for 30 years and knows the ropes to getting anything done. Read on,knows the ropes
710,dry run,Meaning: a rehearsal before the actual performance,Example: Today is only a dry run so we will not be using the actual costumes. Read on,dry run
711,Van Gogh’s ear for music,Meaning: Van Gogh was a painter who cut his ear off and this phrase is a pun intended one referring to being tone deaf.,Example: Her singing is so bad she has Van Gogh's ear for music. Read on,Van Gogh's ear for music
712,doozy,Meaning: it is something that is unique,"Example: It's a doozy of a painting, she is so creative. Read on",doozy
713,a whale of,Meaning: very big (piece) of something,"Example: That birthday party was super fun, all the children had a whale of a time there. Read on",a whale of
714,clam up,Meaning: refusal to talk further or reply,"Example: She clams up every time I walk in, it is worrisome. Read on",clams up
715,fish for a compliment,Meaning: It refers to an attempt to make someone say something nice to you or about you.,"Example: When the student said that he was still not confident of the subject after a score of 80 on 100 in the test, the teacher knew that he was only fishing for a compliment. Read on",fishing for a compliment
716,turn turtle,Meaning: It refers to something turning upside down.,Example: The automobile turned turtle on the highway when the storm got too strong. Read on,turned turtle
717,as calm as a toad in the sun,Meaning: To be very calm in a situation that can be unnerving.,"Example: No matter what the situation is, you are always as calm as a toad in the sun. What is your secret in maintaining so much composure? Read on",as calm as a toad in the sun
718,basket case,Meaning: a person or a thing that is not able to function properly,Example: You should accept this job offer since this is your first job and that organization is a real basket case. Read on,basket case
719,bug someone,Meaning: to bother or irritate someone,Example: The squadron leader bugged the military man in order to find out if he was a spy for the enemy. Read on,bugged
720,green around the gills,Meaning: Someone who looks sick or nauseated.,Example: You need not know all the rules to understand that this kind of turbulent weather makes anyone on board go green around the gills. The cruise should have been stopped for a while. Read on,green around the gills
721,use your loaf,Meaning: To tell someone to use their brain more in analysing what they are doing.,Example: I do not like it that you talk about people's disabilities so often. You ought to use your loaf and understand that you may be hurting someone's sentiments. Read on,use your loaf
722,sick as a dog,Meaning: To be very sick.,Example: You should not go to study with him today. He seemed to be as sick as a dog according to his friends. Read on,as sick as a dog
723,hive of activity,Meaning: A very busy place.,Example: The restaurant on this weekend will be a hive of activities. Read on, hive of activities
724,bug-eyed,Meaning: The bulging of the eyes out is known as being bug eyed.,Example: I was bug eyed looking at her wedding dress and jewelry. Her parents have gone over and above to see her happy. Read on,bug eyed
725,stir up a hornet’s nest,Meaning: to create trouble,"Example: When the auditor asked for more shreds evidence, the treasury department stirred up a Hornet's nest because they did not have more. This is how the fraud was actually revealed. Read on",stirred up a Hornet's nest
726,not hurt a fly or flea,"Meaning: To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Example: He is such an innocent little child, he could not hurt a fly. Read on",not hurt a fly.
727,drink like a fish,"Meaning: this phrase means to drink heavily, which becomes worrisome","Example: At any party that he goes, he drinks like a fish. His wife ought to control this if she can. Read on",drinks like a fish
728,a penny saved is a penny earned,Meaning: This phrase advises people to be cautious of their money and have savings.,Example: Now that he has financial difficulties he will realize that a penny saved is as good as a penny earned. Read on,a penny saved is as good as a penny earned
729,a rolling stone gathers no moss,Meaning: it is difficult for a wanderer to be able to flourish,Example: It was time for you to settle down at least five years back. You should find a place that you like and build a home there because a rolling stone gathers no moss. Read on,a rolling stone gathers no moss
730,a little knowledge is a dangerous thing,Meaning: gaining some knowledge can make a person believe that they have now become experts in that field,"Example: He read about the procedure online and thought he doesn't need the doctor to get it done. Now he will have to stay in the hospital far more than he might have in the first place, a little knowledge is indeed a dangerous thing. Read on",a little knowledge is indeed a dangerous thing
731,a miss is as good as a mile,"Meaning: This phrase points to the fact that regardless of how badly (or not) someone missed the target, it is a miss after all.","Example: Although they scored the last goal, that one miss was as good as a mile. Read on",one miss was as good as a mile
